feature	value	n_samples	precision	recall	fbeta
native-country	England	90	0.7307692307692307	0.6333333333333333	0.6785714285714286
native-country	Canada	121	0.7241379310344828	0.5384615384615384	0.6176470588235294
native-country	Germany	137	0.8	0.5454545454545454	0.6486486486486487
native-country	Iran	43	0.7	0.7777777777777778	0.7368421052631579
native-country	Philippines	198	0.8367346938775511	0.6721311475409836	0.7454545454545455
native-country	Italy	73	0.875	0.56	0.6829268292682927
native-country	Poland	60	0.7	0.5833333333333334	0.6363636363636364
native-country	Columbia	59	0.6666666666666666	1.0	0.8
native-country	Cambodia	19	1.0	0.2857142857142857	0.4444444444444444
native-country	Thailand	18	0.75	1.0	0.8571428571428571
native-country	Ecuador	28	0.5	0.5	0.5
native-country	Laos	18	1.0	0.5	0.6666666666666666
native-country	Taiwan	51	0.85	0.85	0.85
native-country	Haiti	44	0.6666666666666666	0.5	0.5714285714285714
native-country	Portugal	37	1.0	0.25	0.4
native-country	Dominican-Republic	70	1.0	0.5	0.6666666666666666
native-country	El-Salvador	106	1.0	0.6666666666666666	0.8
native-country	France	29	0.8181818181818182	0.75	0.782608695652174
native-country	Guatemala	64	1.0	0.3333333333333333	0.5
native-country	China	75	0.6956521739130435	0.8	0.7441860465116279
native-country	Japan	62	0.782608695652174	0.75	0.7659574468085106
native-country	Yugoslavia	16	0.8	0.6666666666666666	0.7272727272727273
native-country	Peru	31	1.0	0.5	0.6666666666666666
native-country	Outlying-US(Guam-USVI-etc)	14	1.0	1.0	1.0
native-country	Scotland	12	1.0	0.6666666666666666	0.8
native-country	Trinadad&Tobago	19	1.0	0.5	0.6666666666666666
native-country	Greece	29	0.8571428571428571	0.75	0.8
native-country	Nicaragua	34	1.0	0.5	0.6666666666666666
native-country	Vietnam	67	0.6	0.6	0.6
native-country	Hong	20	0.8333333333333334	0.8333333333333334	0.8333333333333334
native-country	Ireland	24	1.0	0.4	0.5714285714285714
native-country	Hungary	13	1.0	0.3333333333333333	0.5
